Disponibilité alimentaire (Kcal/personne/jour),Exportations - Quantité,Importations - Quantité,Population totale millions,Production,"Valeur US $, aux prix du 2015",Zone
Viande de Volailles,Viande de Volailles,Viande de Volailles,Population-Estimations,Viande de Volailles,Produit Intérieur Brut Par Habitant,
67.0,10.0,1069.0,127.50272500000001,2215.0,35712.698824993735,Japon
98.0,10.0,64.0,9.785843000000002,210.0,4121.263234552199,Jordanie
61.0,6.0,174.0,18.080019,171.0,11013.843376989813,Kazakhstan
2.0,0.0,0.0,50.221142,35.0,1511.1045974621604,Kenya
11.0,0.0,25.0,6.189733,7.0,1179.049215370033,Kirghizistan
63.0,0.0,1.0,0.114158,1.0,1481.1292769670106,Kiribati
156.0,4.0,137.0,4.056099000000001,56.0,27706.665014833212,Koweït
27.0,0.0,15.0,2.0915340000000002,2.0,1132.2417354917488,Lesotho
72.0,20.0,43.0,1.951097,33.0,14772.063475572972,Lettonie
38.0,4.0,13.0,6.819373,64.0,7502.65449902799,Liban
36.0,0.0,48.0,4.702226,15.0,578.8846335756725,Libéria
96.0,68.0,44.0,2.8454140000000003,118.0,15562.102988176763,Lituanie
69.0,1.0,11.0,0.5919099999999999,0.0,107899.87979929382,Luxembourg
68.0,1.0,40.0,2.081996,2.0,5025.534364139027,Macédoine du Nord
14.0,0.0,0.0,25.570511999999997,81.0,478.6106329040264,Madagascar
142.0,44.0,68.0,31.104646,1724.0,10707.750515630367,Malaisie
17.0,0.0,0.0,17.670196,130.0,554.0441281466261,Malawi
47.0,0.0,12.0,0.496402,0.0,9491.036972050879,Maldives
9.0,0.0,1.0,18.512430000000002,48.0,822.1717953288681,Mali
103.0,0.0,9.0,0.437933,4.0,29017.67634775182,Malte
70.0,1.0,3.0,35.581255,762.0,3413.8633166536706,Maroc
128.0,0.0,2.0,1.264499,48.0,10250.665853432862,Maurice
11.0,0.0,24.0,4.28257,5.0,1549.5822422050312,Mauritanie
123.0,9.0,972.0,124.777324,3249.0,10081.256118860187,Mexique
9.0,0.0,10.0,3.113786,0.0,4000.8437969083298,Mongolie
55.0,0.0,8.0,0.627563,4.0,6962.549520924593,Monténégro
13.0,0.0,24.0,28.649018,92.0,607.9800859840989,Mozambique
116.0,0.0,3.0,53.382523,1662.0,1284.501945870936,Myanmar
40.0,12.0,29.0,2.402633,11.0,4670.922276102925,Namibie
93.0,0.0,6.0,6.384846,143.0,2185.886832665972,Nicaragua
3.0,0.0,3.0,21.602382000000002,19.0,497.34348619517976,Niger
2.0,0.0,0.0,190.873244,201.0,2569.806193669554,Nigéria
66.0,0.0,2.0,5.296326,101.0,75968.72839587292,Norvège
136.0,0.0,9.0,0.27714999999999995,1.0,31956.325946238503,Nouvelle-Calédonie
140.0,23.0,1.0,4.702033999999999,223.0,41050.75444286451,Nouvelle-Zélande
7.0,0.0,0.0,27.632681,58.0,937.4237953602836,Népal
73.0,16.0,126.0,4.665928,7.0,17774.436378143855,Oman
5.0,0.0,0.0,41.166588000000004,65.0,770.0079979667005,Ouganda
20.0,4.0,2.0,207.906209,1281.0,1593.1293321788191,Pakistan
117.0,0.0,20.0,4.106769,198.0,15079.215738211718,Panama
22.0,4.0,1.0,6.867061,45.0,5762.742084859884,Paraguay
70.0,1418.0,608.0,17.021347000000002,1100.0,47281.90501221789,Pays-Bas
48.0,2.0,249.0,105.172925,1272.0,3338.438475586754,Philippines
107.0,1025.0,55.0,37.95318,2351.0,13607.57446169201,Pologne
167.0,0.0,15.0,0.27610199999999996,1.0,20602.031017522513,Polynésie française
109.0,44.0,82.0,10.288527,361.0,20456.648175195536,Portugal
62.0,1.0,60.0,31.444298,1465.0,6432.845261802315,Pérou
66.0,69.0,146.0,19.653969,392.0,10072.47192299937,Roumanie
120.0,359.0,779.0,66.72746099999999,1814.0,45908.97965374406,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord
5.0,0.0,0.0,11.980960999999999,19.0,784.0818976875061,Rwanda
8.0,0.0,4.0,4.596023,7.0,403.69686226548475,République centrafricaine
62.0,6.0,137.0,51.096415,838.0,30464.87188539548,République de Corée
55.0,0.0,16.0,4.059684,54.0,2093.494700572754,République de Moldova
123.0,6.0,42.0,10.513104,339.0,7555.819097005033,République dominicaine
8.0,0.0,0.0,25.429825,43.0,641.9047884914662,République populaire démocratique de Corée
6.0,0.0,2.0,54.660339,105.0,1013.6006287666822,République-Unie de Tanzanie
190.0,0.0,4.0,0.052045,0.0,19112.755154193484,Saint-Kitts-et-Nevis
243.0,0.0,9.0,0.109827,0.0,7583.464931209994,Saint-Vincent-et-les Grenadines
241.0,0.0,10.0,0.180954,1.0,10680.273809918543,Sainte-Lucie
217.0,0.0,17.0,0.195352,0.0,4392.834698390598,Samoa
33.0,0.0,2.0,0.207089,1.0,1662.4344605459487,Sao Tomé-et-Principe
35.0,7.0,12.0,8.829628000000001,85.0,4738.699428673551,Serbie
10.0,0.0,14.0,7.488423,17.0,626.0272781064851,Sierra Leone
48.0,35.0,63.0,5.4479,71.0,17117.477617797686,Slovaquie
83.0,29.0,20.0,2.0763939999999996,72.0,22445.996898469177,Slovénie
5.0,0.0,2.0,40.813396999999995,67.0,2229.5993023810297,Soudan
26.0,2.0,0.0,21.128031999999997,192.0,4506.91912980821,Sri Lanka
55.0,4.0,51.0,8.455804,91.0,84927.7565559703,Suisse
112.0,5.0,18.0,0.570496,10.0,8678.04601083969,Suriname
61.0,23.0,84.0,9.904896,157.0,53387.90832543824,Suède
16.0,0.0,0.0,15.419355,77.0,1315.853937470147,Sénégal
18.0,0.0,38.0,8.880268,2.0,1066.4590561906466,Tadjikistan
2.0,0.0,1.0,15.016753000000001,6.0,913.372125385561,Tchad
82.0,27.0,116.0,10.641034,163.0,19055.431109420384,Tchéquie
47.0,796.0,2.0,69.20981,1676.0,6247.988305819651,Thaïlande
14.0,0.0,11.0,1.243258,1.0,1284.5945604210872,Timor-Leste
24.0,0.0,16.0,7.698474,40.0,821.5386181729003,Togo
189.0,0.0,23.0,1.384059,61.0,17190.429322738408,Trinité-et-Tobago
57.0,4.0,0.0,11.433442999999999,213.0,4343.893597755287,Tunisie
15.0,0.0,9.0,5.7576670000000005,20.0,6492.180493071238,Turkménistan
71.0,429.0,3.0,81.11645,2192.0,11835.224147765342,Turquie
78.0,273.0,121.0,44.487709,1211.0,2145.6210220894945,Ukraine
33.0,3.0,3.0,3.4366410000000003,33.0,17497.216329258714,Uruguay
40.0,0.0,4.0,0.28551,1.0,2874.6698364330496,Vanuatu
71.0,0.0,25.0,29.402484,600.0,8176.878096217993,Venezuela (République bolivarienne du)
48.0,1.0,291.0,94.600648,918.0,2885.6101522898657,Viet Nam
30.0,0.0,78.0,27.834819,168.0,677.5036504458677,Yémen
11.0,1.0,12.0,16.853599,49.0,1329.6308958697784,Zambie
16.0,0.0,6.0,14.236595,69.0,1479.299375166604,Zimbabwe
50.0,1.0,110.0,96.44259100000001,1118.0,3581.6010439308916,Égypte
147.0,94.0,433.0,9.487203,48.0,41502.37495624369,Émirats arabes unis
83.0,0.0,0.0,16.785361,340.0,5981.130836209003,Équateur
0.0,0.0,1.0,106.399924,14.0,698.6629358870595,Éthiopie
18.0,0.0,6.0,0.636039,0.0,2237.3173516089423,Îles Salomon
